name	pos	part	name_agreement_percent	H	subjective_complexity	familiarity	age_of_acquisition	imageability	image_agreement	frequency	frequency_log	syllables	phonemes	arguments	reflexivity	instrumentality	name_relation
400. пастух (a herdsman)	noun	2	27	3.6	3.19	2.16	2.17	1.48	2.67	9.6	1.0253058653	2	6	NR	NR	NR	NR
401. паук (a spider)	noun	1	97	0.24	3.46	3.77	1.5	1.11	3.64	9.9	1.0374264979	2	4	NR	NR	NR	NR
402. паутина (a spider web)	noun	1	100	0	1.59	4.11	1.67	1.07	4.84	11.3	1.0899051114	4	7	NR	NR	NR	NR
403. певец (a singer)	noun	2	90	0.71	3	4.06	2.12	1.62	3.3	28.4	1.4683473304	2	5	NR	NR	NR	NR
404. педаль (a pedal)	noun	1	69	1.58	2.73	3.42	2.03	1.27	3.22	8.6	0.982271233	2	5	NR	NR	NR	NR
405. пепельница (an ashtray)	noun	1	99	0.08	2.49	3.86	2.95	1.2	4.66	9.2	1.0086001718	4	9	NR	NR	NR	NR
406. перекресток (a crossroad)	noun	1	94	0.4	2.94	4.57	2.37	1.32	4.21	13.4	1.1583624921	4	11	NR	NR	NR	NR
407. перец (a bell pepper)	noun	1	97	0.22	2.29	4.43	2.03	1.22	4.22	15.2	1.2095150145	2	5	NR	NR	NR	NR
408. перо (a feather)	noun	1	100	0	3.32	3.8	1.84	1.06	4.69	34.5	1.5502283531	2	4	NR	NR	NR	NR
409. персик (a peach)	noun	2	74	1.32	2.98	4.07	2.08	1.12	4.19	4.8	0.7634279936	2	6	NR	NR	NR	NR
410. перчатка (a glove)	noun	1	99	0.08	3.16	4.35	1.84	1.03	4.06	19.8	1.318063335	3	8	NR	NR	NR	NR
411. петух (a cock)	noun	1	99	0.08	3.27	3.83	1.27	1.03	4.7	16	1.2304489214	2	5	NR	NR	NR	NR
412. печенье (cookies)	noun	1	70	1.27	2.6	4.29	1.28	1.18	3.64	7.9	0.9493900066	3	7	NR	NR	NR	NR
413. печь (an oven)	noun	1	94	0.37	3.03	3.12	1.61	1.09	3.78	32.6	1.5263392774	1	3	NR	NR	NR	NR
414. пещера (a cave)	noun	2	87	0.75	3.16	2.79	2.2	1.24	3.52	20.3	1.3283796034	3	6	NR	NR	NR	NR
415. пиво (beer)	noun	1	76	1.03	2.36	3.91	2.54	1.27	4.16	60.3	1.7874604745	2	4	NR	NR	NR	NR
416. пиджак (a jacket)	noun	1	73	1	2.12	4.28	2.39	1.21	4.43	38.1	1.5921767574	2	6	NR	NR	NR	NR
417. пила (a saw)	noun	1	99	0.08	1.95	3.78	1.87	1.13	3.93	9.2	1.0086001718	2	4	NR	NR	NR	NR
418. пилка (an emery board)	noun	2	51	1.51	2.64	4.08	3.02	1.27	4.22	0.9	0.278753601	2	5	NR	NR	NR	NR
419. пилот (a pilot)	noun	2	74	1.75	4.04	3.37	2.25	1.52	3.22	26.9	1.4456042033	2	5	NR	NR	NR	NR
420. пингвин (a penguin)	noun	1	100	0	2.68	3.3	1.95	1.14	4.33	3.9	0.69019608	2	7	NR	NR	NR	NR
421. пионер (a pioneer)	noun	2	89	0.82	2.72	2.69	2.39	1.21	3.95	14.8	1.198657087	3	6	NR	NR	NR	NR
422. пирамида (a pyramid)	noun	1	98	0.16	1.82	3.26	1.99	1.11	4.09	16	1.2304489214	4	8	NR	NR	NR	NR
423. пират (a pirate)	noun	2	91	0.61	3.53	3.01	1.99	1.16	3.71	15.2	1.2095150145	2	5	NR	NR	NR	NR
424. пирог (a pie)	noun	2	88	0.67	3.89	4.37	1.47	1.16	4.09	16.3	1.2380461031	2	5	NR	NR	NR	NR
425. пирожок (a patty)	noun	1	27	3.53	2.03	3.77	1.46	1.08	3.46	12.1	1.1172712957	3	7	NR	NR	NR	NR
426. пистолет (a pistol)	noun	1	97	0.24	2.84	3.49	1.99	1.1	4.29	59.4	1.7810369386	3	8	NR	NR	NR	NR
427. письмо (a letter)	noun	2	52	1.42	2.83	4.02	1.78	1.13	4.19	304.3	2.4847268043	2	5	NR	NR	NR	NR
428. пицца (a pizza)	noun	1	94	0.4	2.42	4.53	3.07	1.21	4.51	3.3	0.6334684556	2	4	NR	NR	NR	NR
429. платье (a dress)	noun	2	95	0.36	3.07	4.21	1.34	1.07	3.23	64.8	1.8182258936	2	6	NR	NR	NR	NR
430. платье (a dress)	noun	2	46	1.74	3.35	3.79	1.3	1.07	3.71	64.8	1.8182258936	2	6	NR	NR	NR	NR
431. плеер (a Walkman)	noun	2	88	0.81	2.89	4.2	3.71	1.45	2.81	1.3	0.361727836	2	6	NR	NR	NR	NR
432. пленка (a film stock)	noun	2	54	2.09	2.55	3.35	2.29	1.49	2.83	34.9	1.5550944486	2	6	NR	NR	NR	NR
433. плот (a raft)	noun	1	98	0.16	3.56	3.06	2.51	1.36	3.36	8	0.9542425094	1	4	NR	NR	NR	NR
434. повар (a cook)	noun	2	90	0.52	2.94	3.61	2	1.2	3.75	13.3	1.1553360375	2	5	NR	NR	NR	NR
435. поводок (a leash)	noun	1	45	2.26	3.2	3.81	2.07	1.29	3.59	6.9	0.8976270913	3	7	NR	NR	NR	NR
436. подарок (a present)	noun	2	87	0.71	2.19	4.08	1.26	1.31	4.65	75.4	1.8830933586	3	7	NR	NR	NR	NR
437. подбородок (a chin)	noun	1	95	0.38	1.98	4.73	1.69	1.17	3.94	26.1	1.4329692909	4	10	NR	NR	NR	NR
438. поднос (a tray)	noun	1	67	1.25	3.31	3.87	2.38	1.14	3.76	11.6	1.1003705451	2	6	NR	NR	NR	NR
439. подтяжки (a pair of braces)	noun	2	97	0.24	3.47	3.06	2.63	1.26	4.4	2.5	0.5440680444	3	7	NR	NR	NR	NR
440. подушка (a pillow)	noun	2	99	0.08	2.38	4.9	1.16	1.04	4.33	39.5	1.6074550232	3	7	NR	NR	NR	NR
441. поезд (a train)	noun	1	84	0.94	3.73	4.33	1.64	1.07	4.27	93.3	1.9745116927	2	6	NR	NR	NR	NR
442. пол (a floor)	noun	1	78	1.32	3.14	4.52	1.28	1.52	3.73	181.9	2.2622137055	1	3	NR	NR	NR	NR
443. поле (1) (a field)	noun	1	50	2.49	3.45	4.04	1.83	1.32	3.62	180.2	2.2581581933	2	4	NR	NR	NR	NR
444. полка (a shelf)	noun	1	94	0.43	2.15	4.51	1.72	1.18	3.7	41.9	1.6324572922	2	5	NR	NR	NR	NR
445. половник (a ladle)	noun	2	67	1.46	2.41	4.22	2.19	1.24	4.57	0.9	0.278753601	3	8	NR	NR	NR	NR
446. полотенце (a towel)	noun	2	91	0.67	3.53	4.61	1.28	1.02	3.88	20.5	1.3324384599	4	9	NR	NR	NR	NR
447. помидор (a tomato)	noun	1	82	0.74	2.2	4.76	1.38	1.02	4.64	15.4	1.214843848	3	7	NR	NR	NR	NR
448. попугай (a parrot)	noun	1	93	0.48	3.4	3.87	1.7	1.15	4	10	1.0413926852	3	7	NR	NR	NR	NR
449. портрет (a portrait)	noun	2	41	2.2	2.65	4.39	2.34	1.38	3.53	73.6	1.8727388275	2	7	NR	NR	NR	NR
450. портфель (a briefcase)	noun	2	81	0.98	2.8	3.83	2.03	1.13	3.6	31.2	1.5078558717	2	7	NR	NR	NR	NR
451. почка (a bud)	noun	2	96	0.3	3.32	3.74	2.38	1.27	3.23	16.2	1.2355284469	2	5	NR	NR	NR	NR
452. привидение (a ghost)	noun	2	86	0.74	1.9	3.11	2.01	1.21	3.68	7.1	0.9084850189	5	11	NR	NR	NR	NR
453. принц (a prince)	noun	2	96	0.32	3.24	2.55	1.6	1.24	4.2	24.8	1.411619706	1	5	NR	NR	NR	NR
454. принцесса (a princess)	noun	2	90	0.76	3.51	2.92	1.59	1.19	4.12	15.7	1.2227164711	3	8	NR	NR	NR	NR
455. прихожая (a vestibule)	noun	2	20	4.08	3.61	3.22	2.19	1.47	1.66	21.1	1.3443922737	4	9	NR	NR	NR	NR
456. прищепка (a clothepin)	noun	1	96	0.32	2.66	4.06	1.93	1.06	4.84	0.5	0.1760912591	3	8	NR	NR	NR	NR
457. пробка (a stopper)	noun	2	79	1.52	2.78	3.62	2.2	1.21	3.83	21.3	1.348304863	2	6	NR	NR	NR	NR
458. продавец (a saleswoman)	noun	2	38	2.53	3.44	4.53	1.76	1.33	4.27	36.9	1.57863921	3	8	NR	NR	NR	NR
459. пружина (a spring)	noun	1	94	0.33	2.45	3.32	2.25	1.08	4.63	11.7	1.103803721	3	7	NR	NR	NR	NR
460. прямоугольник (a rectangle)	noun	1	96	0.32	1.27	4.46	2.38	1.03	4.92	5.7	0.8260748027	5	12	NR	NR	NR	NR
461. птица (a bird)	noun	2	84	1.08	2.51	4.12	1.16	1.2	3.62	94.5	1.9800033716	2	5	NR	NR	NR	NR
462. птицы (birds)	noun	2	57	1.97	2.61	4.16	1.13	1.08	3.8	94.5	1.9800033716	2	5	NR	NR	NR	NR
463. пуговица (a button)	noun	1	98	0.16	2.04	4.75	1.4	1.02	4.84	19.8	1.318063335	4	8	NR	NR	NR	NR
464. пуля (a bullet)	noun	2	57	2.36	1.63	2.37	2.38	1.16	4.03	45.3	1.665580991	2	4	NR	NR	NR	NR
465. пылесос (a vacuum cleaner)	noun	1	100	0	3.23	4.59	2.03	1.19	4.18	6	0.84509804	3	7	NR	NR	NR	NR
466. пяльцы (a lace-frame)	noun	2	54	2.45	2.56	2.96	3.13	1.74	4.14	0.4	0.1461280357	2	5	NR	NR	NR	NR
467. рабочий (a worker)	noun	2	24	2.83	2.81	3.19	2.29	1.55	3.65	64.2	1.8142475957	3	7	NR	NR	NR	NR
468. радуга (a rainbow)	noun	1	89	0.83	2.42	4.42	1.42	1.06	4.08	8.1	0.9590413923	3	6	NR	NR	NR	NR
469. рак (a crayfish)	noun	1	89	0.7	3.82	2.91	1.76	1.16	4.45	22.2	1.3654879849	1	3	NR	NR	NR	NR
470. ракета (a rocket)	noun	1	99	0.08	1.85	3.48	2.03	1.15	4	62.9	1.8055008582	3	6	NR	NR	NR	NR
471. ракетка (a racket)	noun	1	100	0	2.16	3.9	2.67	1.25	4.7	3.3	0.6334684556	3	7	NR	NR	NR	NR
472. раскладушка (a folding bed)	noun	1	89	0.72	2.58	3.8	2.2	1.29	4.23	5.3	0.7993405495	4	11	NR	NR	NR	NR
473. расческа (a comb)	noun	1	94	0.37	2.51	4.64	1.51	1.04	4.32	2.9	0.591064607	3	7	NR	NR	NR	NR
474. ребенок (a baby)	noun	1	67	1.44	2.71	3.88	1.4	1.11	3.36	658.3	2.8190830757	3	7	NR	NR	NR	NR
475. река (a river)	noun	1	76	1.5	3.3	4.53	1.38	1.2	3.47	131	2.1205739312	2	4	NR	NR	NR	NR
476. ремень (a belt)	noun	1	100	0	2.86	4.53	1.69	1.01	4.48	28.4	1.4683473304	2	5	NR	NR	NR	NR
477. ресторан (a restaurant)	noun	2	62	1.49	3.45	4.18	2.65	1.62	3.88	79.3	1.9047155453	3	8	NR	NR	NR	NR
478. решетка (a grating)	noun	1	92	0.55	2.61	3.26	2.18	1.16	4.13	29	1.4771212547	3	7	NR	NR	NR	NR
479. робот (a robot)	noun	1	97	0.22	3.18	3.24	2.49	1.44	3.94	8.7	0.9867717343	2	5	NR	NR	NR	NR
480. роза (a rose)	noun	1	100	0	3.11	4.41	1.68	1.06	4.71	42.7	1.640481437	2	4	NR	NR	NR	NR
481. ролики (roller skates)	noun	2	96	0.3	3.8	3.76	3.4	1.2	4.18	11.6	1.1003705451	3	6	NR	NR	NR	NR
482. ромб (a rhombus)	noun	2	65	2.02	1.19	4.04	2.63	1.07	4.42	1.8	0.4471580313	1	4	NR	NR	NR	NR
483. рояль (a grand piano)	noun	2	77	1.01	3.09	3.87	2.51	1.17	4.73	19.7	1.3159703455	2	5	NR	NR	NR	NR
484. рубанок (a plane)	noun	2	67	1.9	2.8	2.08	3.24	1.98	3.97	1.1	0.3222192947	3	7	NR	NR	NR	NR
485. рубашка (a shirt)	noun	1	90	0.62	2.33	4.82	1.6	1.15	3.98	45.9	1.6711728427	3	7	NR	NR	NR	NR
486. ружье (a rifle)	noun	1	94	0.48	3.29	2.99	2.18	1.09	4.58	28.3	1.4668676204	2	5	NR	NR	NR	NR
487. рука (an arm)	noun	2	98	0.16	2.18	4.87	1.02	1.04	4.29	1200.6	3.0797599197	2	4	NR	NR	NR	NR
488. рукав (a sleeve)	noun	1	100	0	1.73	4.8	1.47	1.3	4.11	42.9	1.6424645202	2	5	NR	NR	NR	NR
489. рулетка (a roulette)	noun	2	89	0.66	3.17	2.71	2.92	1.46	2.41	3.7	0.6720978579	3	7	NR	NR	NR	NR
490. руль (a steering wheel)	noun	1	97	0.24	2.12	4.09	1.8	1.12	4.43	43.3	1.6464037262	1	3	NR	NR	NR	NR
491. рупор (a megaphone)	noun	1	34	2.05	3.41	2.64	3.42	1.45	4.12	2.7	0.5682017241	2	5	NR	NR	NR	NR
492. ручка (1) (a pen)	noun	1	77	1.13	3.08	4.03	1.51	1.17	3.31	57.6	1.767897616	2	5	NR	NR	NR	NR
493. рыба (a fish)	noun	2	96	0.28	2.43	4.18	1.13	1.02	4.66	86	1.9395192526	2	4	NR	NR	NR	NR
494. рынок (a market)	noun	2	26	3.08	3.63	4.45	1.98	1.48	3.49	283.3	2.4537768597	2	5	NR	NR	NR	NR
495. рыцарь (a knight)	noun	2	77	1.31	3.62	2.81	2.24	1.18	3.76	18.9	1.2988530764	2	5	NR	NR	NR	NR
496. рюкзак (1) (a backpack)	noun	1	90	0.67	3.2	4.83	2.28	1.16	3.64	17.2	1.260071388	2	6	NR	NR	NR	NR
497. сад (a garden)	noun	2	42	2.7	2.94	3.59	1.37	1.37	2.96	135.8	2.1360860974	1	3	NR	NR	NR	NR
498. салфетка (1) (a table-napkin)	noun	1	90	0.67	2.75	4.4	1.85	1.19	3.17	11.3	1.0899051114	3	8	NR	NR	NR	NR
499. салфетка (2) (an overlay)	noun	1	31	2.44	2.61	3.92	1.97	1.14	2.61	11.3	1.0899051114	3	8	NR	NR	NR	NR
500. салфетки (paper napkins)	noun	1	76	1.43	2.73	4.15	1.99	1.16	2.26	11.3	1.0899051114	3	8	NR	NR	NR	NR
501. самовар (a samovar)	noun	2	100	0	3.84	3.19	1.82	1.07	4.77	11.7	1.103803721	3	7	NR	NR	NR	NR
502. самокат (a scooter)	noun	2	100	0	2.7	3.75	2.49	1.16	4.65	1	0.3010299957	3	7	NR	NR	NR	NR
503. самолет (an airplane)	noun	2	99	0.08	2.91	4.34	1.45	1.05	4.36	166.1	2.2229764499	3	7	NR	NR	NR	NR
504. санки (a sled)	noun	1	89	0.55	2.54	4.02	1.17	1.07	4.43	4.9	0.7708520116	2	5	NR	NR	NR	NR
505. сапог (a boot)	noun	1	97	0.24	2.2	4.57	1.45	1.06	4.27	62	1.7993405495	2	5	NR	NR	NR	NR
506. сапожник (a shoemaker)	noun	2	79	1.17	3.69	2.99	2.28	1.68	4.04	4.8	0.7634279936	3	8	NR	NR	NR	NR
507. сачок (a butterfly net)	noun	2	99	0.08	2.92	2.93	2.03	1.25	4.73	2.7	0.5682017241	2	5	NR	NR	NR	NR
508. светофор (a traffic light)	noun	1	98	0.14	2.71	4.78	1.72	1.01	4.55	8	0.9542425094	3	8	NR	NR	NR	NR
509. свеча (a candle)	noun	1	96	0.27	2.93	4.19	1.92	1.04	4.05	31.6	1.5132176001	2	5	NR	NR	NR	NR
510. свинья (a pig)	noun	2	90	0.74	2.75	3.42	1.42	1.08	3.7	23.1	1.3820170426	2	6	NR	NR	NR	NR
511. свисток (1) (a whistle)	noun	1	99	0.08	2.97	3.32	1.95	1.11	4.65	5	0.7781512504	2	7	NR	NR	NR	NR
512. свитер (a pullover)	noun	1	98	0.16	2.88	4.63	1.78	1.1	4.52	15	1.2041199827	2	6	NR	NR	NR	NR
513. свиток (1) (a scroll)	noun	2	50	2.51	2.43	2.76	2.81	1.22	4.33	2.6	0.5563025008	2	6	NR	NR	NR	NR
514. свиток (2) (a scroll)	noun	2	65	1.96	2.67	2.7	3.15	1.3	4.35	2.6	0.5563025008	2	6	NR	NR	NR	NR
515. священник (a priest)	noun	2	46	2.25	3.14	3.26	2.64	1.34	3.89	39.7	1.6095944092	3	8	NR	NR	NR	NR
516. сейф (a safe)	noun	2	99	0.08	2.91	3.64	3.07	1.24	4.6	13.1	1.1492191127	1	4	NR	NR	NR	NR
517. семья (a family)	noun	1	94	0.43	3.04	4.71	1.64	1.54	3.37	276.6	2.4434194618	2	5	NR	NR	NR	NR
518. сердце (a heart)	noun	1	95	0.38	2.85	4.19	1.76	1.23	3.96	245.1	2.3911116137	2	5	NR	NR	NR	NR
519. сигара (a cigar)	noun	2	45	1.76	2.68	3.14	3.2	1.12	4.21	6.8	0.8920946027	3	6	NR	NR	NR	NR
520. сигарета (a cigarette)	noun	2	95	0.38	2.13	4.23	2.34	1.04	4.61	56.3	1.758154622	4	8	NR	NR	NR	NR
521. сирень (a lilac)	noun	2	92	0.57	4.06	4.02	1.93	1.21	4.33	8.2	0.9637878273	2	5	NR	NR	NR	NR
522. сказка (a fairy tale)	noun	2	42	2.58	3.79	3.8	1.07	1.85	2.35	54.7	1.7458551952	2	6	NR	NR	NR	NR
523. скакалка (a skipping-rope)	noun	2	85	0.9	1.44	3.84	2.01	1.03	4.87	0.9	0.278753601	3	8	NR	NR	NR	NR
524. скалка (a rolling pin)	noun	1	100	0	1.39	3.97	2.32	1.19	4.5	0.7	0.2304489214	2	6	NR	NR	NR	NR
525. скамейка (a bench)	noun	2	69	1.31	2.22	4.58	1.56	1.08	4.38	29	1.4771212547	3	8	NR	NR	NR	NR
526. скворечник (a nesting box)	noun	1	97	0.22	2.17	3.08	2.06	1.06	4.77	1.8	0.4471580313	3	10	NR	NR	NR	NR
527. скейтборд (a skateboard)	noun	2	76	0.97	2.9	3.28	3.85	1.32	4.86	0	0	2	9	NR	NR	NR	NR
528. скелет (a skeleton)	noun	1	100	0	3.45	3.41	2.5	1.12	4.63	10.6	1.0644579892	2	6	NR	NR	NR	NR
529. сковорода (1) (a frying pan)	noun	1	73	1.1	2.23	4.8	1.83	1.04	4.59	5.8	0.8325089127	4	9	NR	NR	NR	NR
530. скорпион (a scorpion)	noun	1	94	0.38	3.43	3.08	2.94	1.34	4.48	4.7	0.7558748557	3	8	NR	NR	NR	NR
531. скрепка (a paperclip)	noun	1	97	0.22	1.74	4.69	2.57	1.13	4.8	2.3	0.5185139399	2	7	NR	NR	NR	NR
532. скрипка (a violin)	noun	1	89	0.73	3.01	3.43	2.38	1.16	4.79	18.4	1.2878017299	2	7	NR	NR	NR	NR
533. скунс (a skunk)	noun	2	64	1.73	3.69	2.37	3.51	1.92	4.15	0.5	0.1760912591	1	5	NR	NR	NR	NR
534. словарь (a dictionary)	noun	1	96	0.32	2.47	4.48	2.52	1.22	3.97	23.9	1.3961993471	2	6	NR	NR	NR	NR
535. слон (an elephant)	noun	2	98	0.16	3.19	3.54	1.21	1.03	4.16	23.8	1.3944516808	1	4	NR	NR	NR	NR
536. смородина (currant)	noun	1	57	1.9	3.83	4	1.81	1.19	4.33	5	0.7781512504	4	9	NR	NR	NR	NR
537. снеговик (a snowman)	noun	1	97	0.24	2.88	4.1	1.31	1.03	3.93	0.4	0.1461280357	3	8	NR	NR	NR	NR
538. сноуборд (a snowboard)	noun	2	76	1.36	2.83	2.99	4.19	1.38	4.49	1	0.3010299957	2	8	NR	NR	NR	NR
539. собака (a dog)	noun	2	53	1.23	3.11	4.47	1.03	1.09	3.62	132.2	2.1245042248	3	6	NR	NR	NR	NR
540. сова (an owl)	noun	1	73	0.96	3.25	3.89	1.67	1.15	4.2	8.5	0.9777236053	2	4	NR	NR	NR	NR
541. сок (juice)	noun	1	76	1.41	3.34	4.85	1.44	1.41	3.24	35.8	1.5658478187	1	3	NR	NR	NR	NR
542. солдат (a soldier)	noun	1	70	1.61	2.87	3.38	2.04	1.12	3.1	142.2	2.155943018	2	6	NR	NR	NR	NR
543. солнце (a sun)	noun	1	89	0.64	2.23	4.73	1.18	1.04	3.2	165.2	2.2206310194	2	5	NR	NR	NR	NR
544. солонка (a saltcellar)	noun	1	76	1.52	3.06	4.42	2.26	1.33	3.58	1	0.3010299957	3	7	NR	NR	NR	NR
545. сосиски (sausages)	noun	2	83	1.08	1.91	4.41	1.74	1.05	4.1	7.5	0.9294189257	3	7	NR	NR	NR	NR
546. спина (a back)	noun	1	82	1.11	1.93	4.63	1.34	1.32	3.63	183.1	2.2650537885	2	5	NR	NR	NR	NR
547. спичка (a match)	noun	2	100	0	2.13	4.44	1.4	1.03	4.8	20.3	1.3283796034	2	6	NR	NR	NR	NR
548. спортсмен (a sportsman)	noun	2	84	0.85	2.51	3.81	2.04	1.47	3.63	25.4	1.4216039269	2	8	NR	NR	NR	NR
549. стадион (a stadium)	noun	1	98	0.16	4.02	3.72	2.37	1.32	4.15	17.6	1.2695129442	3	7	NR	NR	NR	NR
550. стакан (1) (a glass)	noun	1	92	0.6	2.47	4.55	1.38	1.07	4.73	72.8	1.8680563618	2	6	NR	NR	NR	NR
551. стакан (2) (a plastic cup)	noun	2	43	2.48	2.4	4.37	1.36	1.04	1.46	72.8	1.8680563618	2	6	NR	NR	NR	NR
552. стакан (3) (a glass)	noun	2	84	1.03	1.82	4.88	1.32	1.02	3.87	72.8	1.8680563618	2	6	NR	NR	NR	NR
553. стакан (4) (a plastic cup)	noun	2	72	1.24	1.94	4.31	1.33	1.01	2.18	72.8	1.8680563618	2	6	NR	NR	NR	NR
554. старик (an old man)	noun	2	33	2.24	3.14	3.98	1.81	1.2	3.28	151	2.1818435879	2	6	NR	NR	NR	NR
555. статуя (a statue)	noun	1	58	1.64	3.15	3.48	2.42	1.22	4.18	16.1	1.2329961104	3	7	NR	NR	NR	NR
556. степлер (a stapler)	noun	2	96	0.3	3.37	4.2	3.88	1.15	4.48	0	0	2	7	NR	NR	NR	NR
557. стол (a table)	noun	2	95	0.29	1.86	4.84	1.05	1.03	4.44	402.5	2.6058435391	1	4	NR	NR	NR	NR
558. страус (an ostrich)	noun	1	98	0.16	3.02	3.47	2.26	1.29	4.27	3.1	0.6127838567	2	6	NR	NR	NR	NR
559. стрекоза (a dragonfly)	noun	1	100	0	3.9	3.82	1.77	1.1	3.86	4.1	0.7075701761	3	8	NR	NR	NR	NR
560. стрела (an arrow)	noun	1	99	0.08	2.29	3.47	1.83	1.07	4.84	20.7	1.3364597338	2	6	NR	NR	NR	NR
561. стул (a chair)	noun	1	100	0	2.47	4.91	1.17	1.06	4.61	87.6	1.9474337219	1	4	NR	NR	NR	NR
562. сумка (a bag)	noun	2	83	0.92	2.12	4.65	1.43	1.07	3.75	55.5	1.7520484478	2	5	NR	NR	NR	NR
563. сундук (a chest)	noun	2	82	0.91	2.95	2.75	1.81	1.09	3.68	12.5	1.1303337685	2	6	NR	NR	NR	NR
564. сыр (cheese)	noun	1	99	0.08	2.74	4.74	1.52	1.1	4.35	19.5	1.3117538611	1	3	NR	NR	NR	NR
565. сыщик (a detective)	noun	2	63	1.65	3.24	2.82	2.53	1.28	3.91	7.5	0.9294189257	2	5	NR	NR	NR	NR
566. таблетка (a pill)	noun	1	92	0.62	1.78	4.32	1.79	1.06	4.74	21.2	1.3463529745	3	8	NR	NR	NR	NR
567. табурет (a stool)	noun	1	72	1.1	2.44	4.46	1.68	1.05	4.66	7.3	0.9190780924	3	7	NR	NR	NR	NR
568. таз (a washbasin)	noun	1	70	1.6	1.94	3.98	1.57	1.13	3.2	13.4	1.1583624921	1	3	NR	NR	NR	NR
569. танк (a tank)	noun	1	99	0.08	3.49	3.37	1.91	1.24	4.37	52.6	1.7291647897	1	4	NR	NR	NR	NR
570. тапочки (slippers)	noun	1	48	1.31	2.53	4.79	1.4	1.09	4.27	9.4	1.0170333393	3	7	NR	NR	NR	NR
571. таракан (a cockroach)	noun	1	63	1.25	3.7	3.41	1.67	1.11	4.22	10.3	1.0530784435	3	7	NR	NR	NR	NR
572. тарелка (a plate)	noun	2	74	1.31	2.09	4.71	1.13	1.01	4.07	41.3	1.6263403674	3	7	NR	NR	NR	NR
573. театр (a theatre)	noun	2	27	2.78	3.95	4.05	2.16	1.56	3.33	305.3	2.4861469968	2	5	NR	NR	NR	NR
574. телевизор (a TV set)	noun	2	96	0.32	2.2	4.36	1.33	1.04	3.88	72.3	1.8651039746	4	9	NR	NR	NR	NR
575. телега (a cart)	noun	2	81	1.16	3.66	2.73	2.17	1.34	3.64	17.8	1.2741578493	3	6	NR	NR	NR	NR
576. телескоп (a telescope)	noun	1	93	0.56	3.46	2.94	2.9	1.33	3.7	3.8	0.6812412374	3	8	NR	NR	NR	NR
577. телефон (a phone)	noun	1	71	1.36	3.52	4.89	1.56	1.08	2.37	167.8	2.2273724423	3	7	NR	NR	NR	NR
578. тельняшка (a striped vest)	noun	1	75	1.69	2.88	3.7	2.69	1.39	4.02	3.2	0.6232492904	3	8	NR	NR	NR	NR
579. терка (a grater)	noun	1	100	0	2.47	4.74	2.16	1.18	4.8	1.7	0.4313637642	2	5	NR	NR	NR	NR
580. термос (a thermos)	noun	1	96	0.32	2.9	3.98	2.51	1.12	4.35	3.7	0.6720978579	2	6	NR	NR	NR	NR
581. тигр (a tiger)	noun	2	97	0.24	2.99	3.49	1.33	1.05	3.96	15.2	1.2095150145	1	4	NR	NR	NR	NR
582. топор (an ax)	noun	1	100	0	2.69	3.73	1.82	1.04	4.86	25.5	1.4232458739	2	5	NR	NR	NR	NR
583. торт (a cake)	noun	1	100	0	2.97	4.58	1.4	1.07	3.82	11.6	1.1003705451	1	4	NR	NR	NR	NR
584. торшер (a floor lamp)	noun	2	69	1.25	2.49	3.88	2.83	1.39	4.47	2.3	0.5185139399	2	6	NR	NR	NR	NR
585. тостер (a toaster)	noun	2	99	0.08	3.22	3.45	4.23	1.3	4.63	0.5	0.1760912591	2	6	NR	NR	NR	NR
586. точилка (a pencil sharpener)	noun	2	98	0.16	3.06	4.21	2.27	1.16	4.28	0	0	3	7	NR	NR	NR	NR
587. точка (a dot)	noun	2	57	2.04	1.2	4.16	2.02	1.04	4.73	232.2	2.3677285461	2	5	NR	NR	NR	NR
588. трамвай (a tram)	noun	1	92	0.53	3.66	4.11	2.18	1.18	3.49	28.1	1.463892989	2	7	NR	NR	NR	NR
589. треугольник (a triangle)	noun	1	100	0	1.1	4.57	2.02	1.02	4.75	14.5	1.1903316982	4	10	NR	NR	NR	NR
590. троллейбус (a trolley bus)	noun	1	96	0.27	3.53	4.36	2.29	1.16	4.52	14.2	1.1818435879	3	9	NR	NR	NR	NR
591. трон (a throne)	noun	1	96	0.27	3.4	3.11	2.15	1.25	3.95	8.7	0.9867717343	1	4	NR	NR	NR	NR
592. трость (a walking-stick)	noun	2	54	1.98	2.39	3.11	2.79	1.24	4.37	5	0.7781512504	1	5	NR	NR	NR	NR
593. труба (a horn)	noun	2	69	1.38	1.78	2.92	1.75	1.14	2.6	82.1	1.9196010238	2	5	NR	NR	NR	NR
594. трубка (a pipe)	noun	1	100	0	3.14	3.04	2.22	1.15	3.78	101.7	2.0115704436	2	6	NR	NR	NR	NR
595. трубопровод (a tube)	noun	2	45	1.66	2.85	3.04	3.25	1.6	3.78	12.5	1.1303337685	4	11	NR	NR	NR	NR
596. труп (a corpse)	noun	1	78	1.24	3.36	2.72	2.91	1.95	3.3	42.5	1.638489257	1	4	NR	NR	NR	NR
597. трусы (pants)	noun	2	86	0.83	2.3	4.4	1.14	1.05	3.68	15.5	1.2174839442	2	5	NR	NR	NR	NR
598. туфли (shoes)	noun	1	91	0.64	2.41	4.71	1.57	1.1	3.92	23.2	1.383815366	2	5	NR	NR	NR	NR
599. тыква (a pumpkin)	noun	1	99	0.08	2	3.94	2.03	1.07	4.61	5	0.7781512504	2	5	NR	NR	NR	NR
